pcp_t1,acc_t1,lwp_t1,iwp_t1,olr_t1,osr_t1,pcp_t2,acc_t2,lwp_t2,iwp_t2,olr_t2,osr_t2,pcp_t3,acc_t3,lwp_t3,iwp_t3,olr_t3,osr_t3,pcp_t4,acc_t4,lwp_t4,iwp_t4,olr_t4,osr_t4,pcp_t5,acc_t5,lwp_t5,iwp_t5,olr_t5,osr_t5,pcp_t6,acc_t6,lwp_t6,iwp_t6,olr_t6,osr_t6
0.0,0.0,5.2205605507,0.0006287146,240.7501525879,884.8527832031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.219587326,0.0010783846,240.7552947998,885.1856689453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2198429108,0.0006548023,240.7509460449,885.2327880859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0514494628,0.0003590874,5.2148094177,0.0009209656,240.7512512207,897.0186157227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0223748889,0.0001547571,5.2139983177,0.000708354,240.7512969971,890.3415527344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3748583794,0.5839833021,4.4265842438,0.006248361,240.8266448975,875.8806152344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.219648838,0.0014402847,240.757232666,887.0163574219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3808877468,0.022392055,5.1635165215,0.0009238861,240.7522735596,891.9119873047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7961677909,0.0115529653,5.1785359383,0.0007084063,240.7520904541,888.7053833008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2201972008,0.0009181288,240.7530059814,889.1682739258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2202548981,0.0009599293,240.7538299561,886.0077514648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2196941376,0.0009312484,240.7518157959,885.49609375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8483724594,0.0119591365,5.1805520058,0.000829684,240.7517852783,891.0635986328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5725957155,0.0191082731,5.1875123978,0.0007024836,240.7498626709,906.9212646484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.220615387,0.0008168845,240.7501068115,893.2073364258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3895052671,0.0242880248,5.1550512314,0.000849012,240.7512969971,888.3574829102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2203841209,0.0008417044,240.7522125244,886.2577514648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2197556496,0.0008169578,240.7510986328,886.6736450195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.2201094627,0.0008596436,240.7517700195,890.1580200195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0006606386,2.9873e-06,5.2152328491,0.0014171546,240.75730896,880.5484619141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1558041722,0.0015608853,5.2031621933,0.001175015,240.7559356689,887.936706543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1443071365,0.0856721327,5.0988135338,0.0009543335,240.7515869141,903.2842407227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,5.218817234,0.0025811628,240.767791748,889.2780151367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3645763993,0.019118607,5.0459947586,0.0088689653,240.8531799316,853.1376953125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
